ecoregion	r	r_crossvalid	obs_trend_ppts	model_trend_ppts	model_DT_ppts	sst_contrib_ppts	sst_contrib_pct
Western US forest	0.94**	0.92**	1320**	1163**	813**	350 [259, 543]	26 [20, 41]
Western US non-forest	0.54**	0.66**	112 	161**	112**	49	44
1: American Semi-Desert forest	-0.38*	-0.19 	1118*	-24 	-24 	0 [0, 0]	0 [0, 0]
1: American Semi-Desert non-forest	0.16 	0.53**	-6 	64**	55*	9	-144
2: AZ-NM Mountains forest	0.71**	0.59**	1306**	919**	490*	429 [220, 689]	33 [17, 53]
2: AZ-NM Mountains non-forest	0.30 	0.28 	211 	1666**	1249**	417	198
3: CA Coast Chapparral Forest forest	0.26 	-0.29 	0**	1800 	1571 	229 [8, 60]	inf [inf, inf]
3: CA Coast Chapparral Forest non-forest	0.43**	0.37*	39 	166*	164*	3	7
4: CA Coast Range Open Woodland forest	0.27 	0.51**	68 	614**	614**	0 [0, 0]	0 [0, 0]
4: CA Coast Range Open Woodland non-forest	0.19 	-0.31 	-8 	139**	139**	0	-0
5: CA Dry Steppe Province forest	-0.18 	-0.18 	0**	-18 	-18 	0 [0, 0]	nan [nan, nan]
5: CA Dry Steppe Province non-forest	0.31 	0.40*	-2 	8 	8 	0	-0
6: Cascade Mixed Forest forest	0.78**	0.76**	3913**	3161**	2528**	633 [166, 798]	16 [4, 20]
6: Cascade Mixed Forest non-forest	0.49**	0.17 	814**	571**	481**	90	11
7: Chihuahuan Semi-Desert forest	0.73**	0.67**	1355**	1271**	580*	691 [257, 1121]	51 [19, 83]
7: Chihuahuan Semi-Desert non-forest	0.34*	0.24 	68 	165**	64 	101	148
8: CO Plateau forest	0.61**	0.50**	4962**	4358**	1393**	2965 [441, 3024]	60 [9, 61]
8: CO Plateau non-forest	0.37*	0.05 	258 	264**	161*	103	40
9: Great Plains forest	0.76**	0.73**	496*	494 	251 	243 [93, 335]	49 [19, 68]
9: Great Plains non-forest	-0.20 	0.70**	516**	7 	7 	0	0
10: IM Semi-Desert forest	0.49**	0.39*	440*	393**	253**	140 [38, 197]	32 [9, 45]
10: IM Semi-Desert non-forest	0.34*	0.31 	142 	256**	154**	102	72
11: IM Semi-Desert and Desert forest	0.70**	0.61**	720*	617*	298*	319 [144, 423]	44 [20, 59]
11: IM Semi-Desert and Desert non-forest	-0.18 	0.40*	-16 	-3 	-3 	0	-0
12: Middle Rocky Mountain Steppe forest	0.88**	0.90**	577*	494*	266*	227 [135, 381]	39 [23, 66]
12: Middle Rocky Mountain Steppe non-forest	0.75**	0.70**	262 	234*	126 	108	41
13: NV-UT Mountains forest	0.68**	0.75**	1152*	1762**	685**	1077 [526, 1409]	93 [46, 122]
13: NV-UT Mountains non-forest	0.25 	0.29 	88 	68 	12 	57	65
14: Northern Rocky Mountain Forest forest	0.80**	0.73**	1775**	2200**	2384**	-184 [-250, -57]	-10 [-14, -3]
14: Northern Rocky Mountain Forest non-forest	0.56**	0.35*	989**	1049*	1232*	-183	-19
15: Sierran Steppe forest	0.85**	0.86**	2582**	1785**	1367**	419 [206, 528]	16 [8, 20]
15: Sierran Steppe non-forest	0.46**	0.51**	337*	230*	156 	74	22
16: Southern Rocky Mountain Steppe forest	0.80**	0.80**	4721**	3248**	1705**	1543 [542, 1848]	33 [11, 39]
16: Southern Rocky Mountain Steppe non-forest	0.69**	0.72**	419*	148 	29 	119	28
17: SW Plateau and Plains forest	-0.34*	-0.34*	0**	-40 	-40 	0 [0, 0]	nan [nan, nan]
17: SW Plateau and Plains non-forest	-0.31 	0.47**	-7**	-1 	-1 	0	-0
