ecoregion	r	r_crossvalid	obs_trend_ppts	model_trend_ppts	model_DT_ppts	sst_contrib_ppts	sst_contrib_pct
Western US forest	-0.01 	0.92**	1320**	-1 	-3 	2 [-2, 5]	0 [-0, 0]
Western US non-forest	-0.30 	0.66**	112 	-0 	-0 	0	0
1: American Semi-Desert forest	-0.38*	-0.19 	1118*	-24 	-24 	0 [0, 0]	0 [0, 0]
1: American Semi-Desert non-forest	-0.40*	0.53**	-6 	2 	2 	0	-0
2: AZ-NM Mountains forest	-0.36*	0.59**	1306**	2 	2 	0 [0, 0]	0 [0, 0]
2: AZ-NM Mountains non-forest	-0.41**	0.28 	211 	0 	0 	0	0
3: CA Coast Chapparral Forest forest	-0.41**	-0.29 	0**	179 	179 	0 [0, 0]	nan [nan, nan]
3: CA Coast Chapparral Forest non-forest	-0.43**	0.37*	39 	4 	4 	0	0
4: CA Coast Range Open Woodland forest	0.37*	0.51**	68 	-185 	-182 	-3 [-4, -0]	-5 [-6, -0]
4: CA Coast Range Open Woodland non-forest	-0.52**	-0.31 	-8 	9 	9 	0	-0
5: CA Dry Steppe Province forest	-0.18 	-0.18 	0**	-18 	-18 	0 [0, 0]	nan [nan, nan]
5: CA Dry Steppe Province non-forest	0.31 	0.40*	-2 	8 	8 	0	-0
6: Cascade Mixed Forest forest	-0.34*	0.76**	3913**	-5 	-5 	0 [0, 0]	0 [0, 0]
6: Cascade Mixed Forest non-forest	-0.54**	0.17 	814**	-16 	-16 	0	0
7: Chihuahuan Semi-Desert forest	0.34*	0.67**	1355**	358*	242 	116 [29, 131]	9 [2, 10]
7: Chihuahuan Semi-Desert non-forest	-0.40*	0.24 	68 	-1 	-1 	0	0
8: CO Plateau forest	-0.26 	0.50**	4962**	-34 	-34 	0 [0, 0]	0 [0, 0]
8: CO Plateau non-forest	-0.55**	0.05 	258 	-3 	-3 	0	0
9: Great Plains forest	-0.42**	0.73**	496*	-1 	-1 	0 [0, 0]	0 [0, 0]
9: Great Plains non-forest	-0.20 	0.70**	516**	7 	7 	0	0
10: IM Semi-Desert forest	-0.56**	0.39*	440*	-18 	-18 	0 [0, 0]	0 [0, 0]
10: IM Semi-Desert non-forest	-0.38*	0.31 	142 	-1 	-1 	0	0
11: IM Semi-Desert and Desert forest	-0.15 	0.61**	720*	-2 	-2 	0 [0, 0]	0 [0, 0]
11: IM Semi-Desert and Desert non-forest	-0.18 	0.40*	-16 	-3 	-3 	0	-0
12: Middle Rocky Mountain Steppe forest	-0.04 	0.90**	577*	3 	3 	0 [0, 0]	0 [0, 0]
12: Middle Rocky Mountain Steppe non-forest	-0.23 	0.70**	262 	-0 	-0 	0	0
13: NV-UT Mountains forest	-0.01 	0.75**	1152*	-3 	-3 	0 [0, 0]	0 [0, 0]
13: NV-UT Mountains non-forest	-0.26 	0.29 	88 	0 	0 	0	0
14: Northern Rocky Mountain Forest forest	-0.38*	0.73**	1775**	-2 	-2 	0 [0, 0]	0 [0, 0]
14: Northern Rocky Mountain Forest non-forest	-0.42**	0.35*	989**	-14 	-14 	0	0
15: Sierran Steppe forest	-0.21 	0.86**	2582**	-16 	-16 	0 [0, 0]	0 [0, 0]
15: Sierran Steppe non-forest	-0.39*	0.51**	337*	-8 	-8 	0	0
16: Southern Rocky Mountain Steppe forest	0.02 	0.80**	4721**	32*	32*	0 [0, 0]	0 [0, 0]
16: Southern Rocky Mountain Steppe non-forest	0.05 	0.72**	419*	9 	9 	0	0
17: SW Plateau and Plains forest	-0.34*	-0.34*	0**	-40 	-40 	0 [0, 0]	nan [nan, nan]
17: SW Plateau and Plains non-forest	-0.31 	0.47**	-7**	-1 	-1 	0	-0
